,RMSE,MAE,MAPE,R2
T2_S3_SARIMA,182.9193008501928,76.05513173055857,147681093670.39807,-0.20705474751594632
T2_S3_XGBoost,28.13173063363162,9.8510654292627,1093078763220.7678,0.9714503490019445
T2_S3_LSTM,,,,
T2_S51_SARIMA,167.50000272786147,72.19139894562215,730148007326.1996,-0.21701341971615729
T2_S51_XGBoost,22.54693143890912,8.298038648681722,810794225935.0878,0.9779483739730731
T2_S51_LSTM,,,,
T0_S50_SARIMA,686.5426249038402,658.2040339823691,580002999809389.6,-9.932178913913948
T0_S50_XGBoost,18.697955139857093,6.794017476416226,393865093518.1036,0.9918911373307464
T0_S50_LSTM,,,,
T2_S8_SARIMA,204.68152009116625,88.01435261141428,655056703117.736,-0.21868246380687073
T2_S8_XGBoost,31.282216217015094,11.770023320819112,753605467897.8884,0.9715338770025999
T2_S8_LSTM,,,,
T2_S27_SARIMA,238.31040282329153,100.10831474017074,268045776278.00537,-0.21150203729126726
T2_S27_XGBoost,30.366058431168465,11.277365605958972,956193231114.2036,0.9803295183559849
T2_S27_LSTM,,,,
T2_S26_SARIMA,213.9156433627607,89.9165684541055,22432503721.466766,-0.21433876010100472
T2_S26_XGBoost,21.79868057218342,8.098483209809462,1108698378557.773,0.9873899972263736
T2_S26_LSTM,,,,
T2_S7_SARIMA,181.43995105974673,77.02318364109915,164425636636.63608,-0.21982348054680156
T2_S7_XGBoost,24.086658442829833,9.1112133880098,962870814242.4868,0.9785026831683542
T2_S7_LSTM,,,,
T2_S59_SARIMA,178.50686930009513,76.48467502449151,2391562255534.418,-0.1923810512768811
T2_S59_XGBoost,30.982811311970853,10.61730611067803,992459791394.1726,0.9640791302624329
T2_S59_LSTM,,,,
T1_S58_SARIMA,175.4463238121024,67.00409226210097,6633648703197.554,-0.10352287201180821
T1_S58_XGBoost,19.60943958553265,6.039738573003858,636581905587.7584,0.9862144798324359
T1_S58_LSTM,,,,
T0_S14_SARIMA,619.2081510151642,598.084370560877,520985243197141.5,-13.910998625061353
T0_S14_XGBoost,20.383851090648005,6.889346160620801,230673230543.5012,0.9838413201267222
T0_S14_LSTM,,,,
T2_S65_SARIMA,342.62400862318844,143.03790808690943,77071508621.73756,-0.21052516098342777
T2_S65_XGBoost,32.56870525537765,12.319606489437472,1244117957723.1782,0.9890619671180493
T2_S65_LSTM,,,,
T0_S71_SARIMA,533.364070166797,508.1322114032352,451585897385507.3,-9.250809797453007
T0_S71_XGBoost,21.701655150730947,7.578741767512929,336281941744.87476,0.9830294319768416
T0_S71_LSTM,,,,
T2_S23_SARIMA,213.43020884083455,89.69895006849525,439952549183.71515,-0.2145198939389703
T2_S23_XGBoost,23.316624098300203,8.71734078478373,871202909870.929,0.9855048005077136
T2_S23_LSTM,,,,
T2_S24_SARIMA,251.98347413866728,105.75481968286542,25133794304.033936,-0.21355081201028003
T2_S24_XGBoost,25.920806234804953,9.949715982888307,1001771321414.115,0.9871586448373806
T2_S24_LSTM,,,,
T2_S57_SARIMA,173.84754979418966,72.835874856434,233303870402.6104,-0.20961266886601182
T2_S57_XGBoost,17.67256118722533,6.5084982466053,725596981588.7935,0.9875000531471286
T2_S57_LSTM,,,,
T2_S42_SARIMA,261.72213838925893,108.84198219489886,25097681004.87346,-0.20887862395790124
T2_S42_XGBoost,37.185351618476496,12.935715401712333,877858472031.1375,0.9755968683369374
T2_S42_LSTM,,,,
T1_S10_SARIMA,143.7950379022365,59.96227432433934,8663131316313.086,-0.09638961832579973
T1_S10_XGBoost,21.20231066463138,6.575429403442671,631333045223.6492,0.9761634442375183
T1_S10_LSTM,,,,
T5_S31_SARIMA,157.3037741638477,57.66847309177647,152267087846.68835,-0.15338135515832052
T5_S31_XGBoost,22.858883557942942,7.554326482493351,276880042815.05914,0.9756440725396078
T5_S31_LSTM,,,,
T2_S31_SARIMA,168.04809827070278,71.93440908761544,224382143677.22574,-0.22093406580085428
T2_S31_XGBoost,19.26256962653397,7.372449313363746,797358178755.2418,0.9839581869725936
T2_S31_LSTM,,,,
T2_S60_SARIMA,168.80357876091261,69.8128065904505,250625650140.25732,-0.20278509268381373
T2_S60_XGBoost,35.0734897253242,10.405927664134238,608703307102.7697,0.9480742598336939
T2_S60_LSTM,,,,
T2_S22_SARIMA,202.78931595933398,85.92727607185994,80979303252.18808,-0.21883505062087405
T2_S22_XGBoost,28.723600763340688,10.832151502116409,824969486051.94,0.9755469769155152
T2_S22_LSTM,,,,
T2_S48_SARIMA,161.05677373909688,67.00605135647017,133935290806.74353,-0.20730382434907324
T2_S48_XGBoost,22.67722758619848,8.520568210717782,515438939590.4251,0.9760647204967354
T2_S48_LSTM,,,,
T2_S63_SARIMA,184.38161957566146,75.52772795271221,63501501226.989136,-0.20162620762339656
T2_S63_XGBoost,27.847356821218707,9.233781951353256,489062961913.16327,0.9725904377072553
T2_S63_LSTM,,,,
T2_S12_SARIMA,220.56015239164708,90.65537406464388,141122779767.9901,-0.2017640213033578
T2_S12_XGBoost,23.163600748817537,8.49080468042177,764357656469.2759,0.9867450762715447
T2_S12_LSTM,,,,
T3_S79_SARIMA,176.55777605629208,60.15323247239103,2777013935938.27,-0.10572401999538905
T3_S79_XGBoost,33.76920199127353,10.173383378952591,1214163721726.4736,0.9595503619195368
T3_S79_LSTM,,,,
T2_S0_SARIMA,198.23348734084664,84.06240669338322,248841330063.76282,-0.2161039005117915
T2_S0_XGBoost,28.0018277421488,10.071150146916326,834567838866.0685,0.975734491406818
T2_S0_LSTM,,,,
T2_S33_SARIMA,171.28008578733238,72.04419371242832,6984384236.220651,-0.2148518621874813
T2_S33_XGBoost,19.187042047219936,7.051865858229472,653585164689.0026,0.9847550629750437
T2_S33_LSTM,,,,
T0_S15_SARIMA,522.9954830216341,495.5967518562717,444468967416578.5,-7.366850663794306
T0_S15_XGBoost,19.129028646151422,6.840879632909103,559465255604.5979,0.9888068589486827
T0_S15_LSTM,,,,
T2_S32_SARIMA,264.17701487146365,108.48070473090888,39776325919.49276,-0.20246512628937063
T2_S32_XGBoost,34.543169476407115,13.248485089695658,876486618401.1458,0.9794407721512347
T2_S32_LSTM,,,,
T2_S28_SARIMA,195.59228306090813,80.98455779450127,3253493968.9478483,-0.2068666559563923
T2_S28_XGBoost,20.098102423166594,7.3314047069355075,676142805163.9183,0.9872571677294805
T2_S28_LSTM,,,,
